OBJECTID_12,FID_Movimientos_AreaPotencial,OBJECTID_1,Shape_Leng,a,OBJECTID,ENCUEST,DPTO,MUNICIPIO,VEREDA,PARTE,ETIQUETA,ESTE_ESC,NORTE_ESC,ESTE_CUERP,NORT_CUERP,ESTE,FECHA_REP,NORTE,ALTITUD,TIPO_MOV1,TIPO_MOV2,SUBTIPO_1,SUBTIPO_2,ACTIVIDAD,ELEM_EXP,COD_SIMMA,FECHA_MOV,PLANCHA,ID_MOV,ID_PARTE,REF_GEOGRF,FTE_INFSEC,EDAD_RELAT,Shape_Le_1,FID_RasterT_Amenaza1,Id,gridcode,AMENAZA,Shape_Length,Shape_Area
1,2,2,543.9014903,0,6,Yuseth GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,dts,0,0,0,0,1084031.674,26/9/2019 00:00,1289029.002,519,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Ambiental,0,18/7/2019,109IIID,YG007, ,Cerca del drenaje rÃƒÂ­o Sucio.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],>20 aÃƒÂ±os,543.9014903,1202,1202,2,ALTA,543.9014903,7168.67131
2,3,3,230.53157,0,7,Yuseth GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,dts,0,0,0,0,1084816.343,26/9/2019 00:00,1289388.834,621,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Ambiental,0,18/7/2019,109IIID,YG003, ,Adyacente a la vÃƒÂ­a Lebrija-Sabana de Torres. Cerca del corregimiento El Naranjo.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],15-20 aÃƒÂ±os,230.53157,1202,1202,2,ALTA,230.53157,3353.782211
3,4,4,635.4178537,0,8,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086870.075,26/9/2019 00:00,1290744.851,491,ReptaciÃƒÂ³n,Deslizamientos,ReptaciÃƒÂ³n de suelos,Deslizamiento traslacional,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG011, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,635.4178537,173,173,1,MEDIA,45.49203045,127.804375
4,4,4,635.4178537,0,8,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086870.075,26/9/2019 00:00,1290744.851,491,ReptaciÃƒÂ³n,Deslizamientos,ReptaciÃƒÂ³n de suelos,Deslizamiento traslacional,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG011, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,635.4178537,180,180,1,MEDIA,50,156.25
5,4,4,635.4178537,0,8,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086870.075,26/9/2019 00:00,1290744.851,491,ReptaciÃƒÂ³n,Deslizamientos,ReptaciÃƒÂ³n de suelos,Deslizamiento traslacional,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG011, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,635.4178537,181,181,1,MEDIA,50,156.25
6,4,4,635.4178537,0,8,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086870.075,26/9/2019 00:00,1290744.851,491,ReptaciÃƒÂ³n,Deslizamientos,ReptaciÃƒÂ³n de suelos,Deslizamiento traslacional,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG011, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,635.4178537,185,185,1,MEDIA,50,156.25
7,4,4,635.4178537,0,8,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086870.075,26/9/2019 00:00,1290744.851,491,ReptaciÃƒÂ³n,Deslizamientos,ReptaciÃƒÂ³n de suelos,Deslizamiento traslacional,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG011, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,635.4178537,208,208,1,MEDIA,33.6839604,53.30687499
8,4,4,635.4178537,0,8,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086870.075,26/9/2019 00:00,1290744.851,491,ReptaciÃƒÂ³n,Deslizamientos,ReptaciÃƒÂ³n de suelos,Deslizamiento traslacional,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG011, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,635.4178537,1202,1202,2,ALTA,820.1802177,25137.48339
9,5,5,907.2161516,0,9,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086958.938,26/9/2019 00:00,1290995.893,429,ReptaciÃƒÂ³n, ,ReptaciÃƒÂ³n de suelos, ,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG012, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,907.2161516,88,88,1,MEDIA,38.65277555,70.27625002
10,5,5,907.2161516,0,9,Yuseth GÃƒÂ³mez.,Santander,Lebrija,Centenario,n,rs,0,0,0,0,1086958.938,26/9/2019 00:00,1290995.893,429,ReptaciÃƒÂ³n, ,ReptaciÃƒÂ³n de suelos, ,Inactivo,Ambiental,0,18/7/2019,109IIIB,YG012, ,Cerca de la Quebrada Cutiga.,Imagen Sentinel 2-L1C: 2019-07-18_1.5_(B8A-B04)(B8A+B04+0.5)[-73.4041213989258;7.120652233178573;-73.24069976806642;7.292319948696437],1-5 aÃƒÂ±os,907.2161516,97,97,1,MEDIA,76.41443819,231.72375
