AMBIENTE GEOMORFOLOGICO;UNIDAD/SUBUNIDAD GEOMORFOLOGICA;ACRONIMO;SUSCEPTIBILIDAD;VALOR
DENUDACIONAL;Cerro residual;Dcrs;Baja;0
DENUDACIONAL;Cima;Dc;;
DENUDACIONAL;Colina residual;Dcr;;
DENUDACIONAL;Colina residual disectada;Dcrd;;
DENUDACIONAL;Colina remanente;Dcre;;
DENUDACIONAL;Colina remanente disectada;Dcred;;
DENUDACIONAL;Colina remanente muy disectada;Dcremd;;
DENUDACIONAL;Cono de talus;Dct;Alta;2
DENUDACIONAL;Cono flujo de detritos;Dfe;Alta;2
DENUDACIONAL;Cono y lóbulo coluvial y de solifluxión;Dco;;
DENUDACIONAL;Cono o lóbulo de deslizamiento traslacional;Ddtr;;
DENUDACIONAL;Cono o lóbulo de deslizamiento rotacional;Ddrt;;
DENUDACIONAL;Cono o lóbulo de flujo de lodo;Dlf;;
DENUDACIONAL;Conos o lóbulos de flujos de tierra;Dlft;;
DENUDACIONAL;Cono o lóbulo de deslizamiento indiferenciado;Ddi;;
DENUDACIONAL;Escarpe faceteado;Def;Alta;2
DENUDACIONAL;Cono o lóbulo de Flujo indiferenciado;Dft;;
DENUDACIONAL;Glacis;Dg;;
DENUDACIONAL;Glacis de acumulación;Dga;;
DENUDACIONAL;Glacis de erosión;Dge;;
DENUDACIONAL;Lóbulo y cono de avalancha de detritos;Dlcad;;
DENUDACIONAL;Lóbulo y cono de avalancha de rocas;Dlcar;;
DENUDACIONAL;Inselberg;Di;;
DENUDACIONAL;Lomas denudadas;Dld;;
DENUDACIONAL;Lomas residuales;Dlor;;
DENUDACIONAL;Lomo residual;Dlres;;
DENUDACIONAL;Montículo y ondulaciones denudacionales;Dmo;;
DENUDACIONAL;Penillanura o peniplanicie;Dpn;;
DENUDACIONAL;Planicie colinada denudacional;Dpcd;;
DENUDACIONAL;Planicie colinada residual;Dpcr;;
DENUDACIONAL;Sierra denudada;Dsd;;
DENUDACIONAL;Sierra residual;Dsr;;
DENUDACIONAL;Superficie de erosión o aplanamiento;Dsa;;
DENUDACIONAL;Altiplano;Da;;
DENUDACIONAL;Planos aterrazados o duricostras;Dpad;;
DENUDACIONAL;Pedimentos;Dpd;;
DENUDACIONAL;Pedimentos de acumulación;Dpa;;
DENUDACIONAL;Planicie;Dp;;
DENUDACIONAL;Pedimentos de erosión;Dpe;;
DENUDACIONAL;Terrazas o mesas calcretas o silicretas;Dtcs;;
DENUDACIONAL;Cono flujos de detritos;Dfe;;
DENUDACIONAL;Cono de talus;Dct;;
DENUDACIONAL;Cerro remanente o relicto;Dcrem;Alta;2
DENUDACIONAL;Escarpe de erosión mayor;Deem;Alta;2
DENUDACIONAL;Escarpe de erosión menor;Deeme;Alta;2
DENUDACIONAL;Escarpe facetado;Def;Alta;2
FLUVIAL;Abanico aluvial antiguo;Faaa;;
FLUVIAL;Abanicos aluviales y fluviotorrenciales;Faa;;
FLUVIAL;Albardones fluviales o diques naturales;Fa;;
FLUVIAL;Abanico aluvial subcreciente;Faas;;
FLUVIAL;Abanico aluvial actual;Faaac;;
FLUVIAL;Abanico aluvial incisado;Faai;;
FLUVIAL;Abanicos aluviales coalescentes no diferenciados (bajadas);Fac;;
FLUVIAL;Barra puntual;Fbp;;
FLUVIAL;Barras longitudinales;Fbl;;
FLUVIAL;Barras compuestas;Fbc;;
FLUVIAL;Complejo de orillales;Fpac;;
FLUVIAL;Planicie aluvial confinada;Fpac;;
FLUVIAL;Planicies y deltas lacustrinos;Fpla;;
FLUVIAL;Planos y llanuras de inundación;Fpi;;
FLUVIAL;Planos anegadizos;Fpa;;
FLUVIAL;Planos y artesas lagunares;Fpl;;
FLUVIAL;Cauce aluvial;Fca;;
FLUVIAL;Cono de deyección;Fcdy;;
FLUVIAL;Cuencas de decantación fluvial;Fcd;;
FLUVIAL;Meandros abandonados;Fma;;
FLUVIAL;Lagos en media luna;Flm;;
FLUVIAL;Deltas de desborde natural;Fdd;;
FLUVIAL;Deltas lacustrinos;Fdl;;
FLUVIAL;Terrazas de acumulación;Fta;;
FLUVIAL;Terrazas de erosión fluvial;Fte;;
FLUVIAL;Escarpe de terraza de acumulación;Ftae;;
FLUVIAL;Terraza de acumulación subcreciente;Ftas;;
FLUVIAL;Terraza de acumulación antigua;Ftan;;
FLUVIAL;Escarpe de abanico fluvial;Fea;Alta;2
FLUVIAL;Escarpe de terraza de erosión;Ftee;Alta;2
FLUVIAL;Plano anegadizo;Fpa;;
ESTRUCTURAL;Cerro estructural;Sce;Alta;2
ESTRUCTURAL;Colina estructural ;Sces;Alta;2
ESTRUCTURAL;Escarpe de línea de falla;Slfe;Alta;2
ESTRUCTURAL;Escarpe de meseta estructural ;Sme;Alta;2
ESTRUCTURAL;Faceta triangular; Sft;Alta;2
ESTRUCTURAL;Ladera contrapendiente ;Slcp;Alta;2
ESTRUCTURAL;Ladera de contrapendiente de sierra homoclinal ;Sshlc;Alta;2
ESTRUCTURAL;Ladera contrapendiente de sierra anticlinal ;Ssalc;Alta;2
ESTRUCTURAL;Ladera contrapendiente de sierra sinclinal ;Ssslc;Alta;2
ESTRUCTURAL;Ladera estructural de cuestas;Scle;;
ESTRUCTURAL;Ladera de contrapendiente de cuesta; Sclc;Alta;2
ESTRUCTURAL;Ladera de contrapendiente de espinazo ;Selc;Alta;2
ESTRUCTURAL;Meseta estructural ;Sm;Alta;2
ESTRUCTURAL;Ladera estructural de sierra homoclinal ;Sshle;Alta;2
ESTRUCTURAL;Ladera estructural de sierra anticlinal ;Ssale;Alta;2
ESTRUCTURAL;Ladera estructural de sierra sinclinal ;Sssle;Alta;2
ESTRUCTURAL;Ladera estructural de cuesta ;Scle;Alta;2
ESTRUCTURAL;Ladera estructural de espinazo; Sele;Alta;2
ESTRUCTURAL;Ladera de contrapendiente de espinazo;Selp;Alta;2
ESTRUCTURAL;Plancha; Sp;Alta;2
ESTRUCTURAL;Sierra de barras estructurales ;Ssbe;Alta;2
ESTRUCTURAL;Barras homoclinales denudadas;Sbhd;;
ESTRUCTURAL;Cornisas estructurales;Scor;;
ESTRUCTURAL;Cerros estructurales;Sce;;
ESTRUCTURAL;Espolones estructurales;Spe;Alta;2
ESTRUCTURAL;Espolones faceteados;Sefc;Alta;2
ESTRUCTURAL;Espolones denudados;Sed;;
ESTRUCTURAL;Espolones festoneados;sefes;;
ESTRUCTURAL;Lomos de fallas con facetas triangulares;Slft;;
ESTRUCTURAL;Escarpe de línea de falla;Slfe;Alta;2
;Escarpe de falla importante;Sefi;Alta;2
ESTRUCTURAL;Sierras y lomos de presión;Slp;;
ESTRUCTURAL;Ganchos de flexión;Sgf;;
ESTRUCTURAL;Domo diapírico;Sdd;;
ESTRUCTURAL;Superficie tabular de meseta;Smle;;
ESTRUCTURAL;Escarpes de meseta;Smcp;Alta;2
ESTRUCTURAL;Cuencas de tracción;Sct;;
ESTRUCTURAL;Laderas escalonadas;Sles;;
ESTRUCTURAL;Laguna de falla;Ssp;;
ESTRUCTURAL;Lomo de obturación;Slo;;
