AMBIENTE GEOMORFOLOGICO;UNIDAD/SUBUNIDAD GEOMORFOLOGICA;ACRONIMO;SUSCEPTIBILIDAD;VALOR
DENUDACIONAL;Cerro residual;Dcrs;Baja;0
DENUDACIONAL;Cima;Dc;;
DENUDACIONAL;Colina residual;Dcr;;
DENUDACIONAL;Colina residual disectada;Dcrd;;
DENUDACIONAL;Colina remanente;Dcre;;
DENUDACIONAL;Colina remanente disectada;Dcred;;
DENUDACIONAL;Colina remanente muy disectada;Dcremd;;
DENUDACIONAL;Cono de talus;Dct;Alta;2
DENUDACIONAL;Cono flujo de detritos;Dfe;Alta;2
DENUDACIONAL;Cono y lóbulo coluvial y de solifluxión;Dco;Alta;2
DENUDACIONAL;Cono o lóbulo de deslizamiento traslacional;Ddtr;;
DENUDACIONAL;Cono o lóbulo de deslizamiento rotacional;Ddrt;;
DENUDACIONAL;Cono o lóbulo de flujo de lodo;Dlf;Alta;2
DENUDACIONAL;Conos o lóbulos de flujos de tierra;Dlft;Alta;2
DENUDACIONAL;Cono o lóbulo de deslizamiento indiferenciado;Ddi;Alta;2
DENUDACIONAL;Escarpe faceteado;Def;;
DENUDACIONAL;Cono o lóbulo de Flujo indiferenciado;Dft;Alta;2
DENUDACIONAL;Glacis;Dg;;
DENUDACIONAL;Glacis de acumulación;Dga;;
DENUDACIONAL;Glacis de erosión;Dge;;
DENUDACIONAL;Lóbulo y cono de avalancha de detritos;Dlcad;Alta;2
DENUDACIONAL;Lóbulo y cono de avalancha de rocas;Dlcar;Alta;2
DENUDACIONAL;Inselberg;Di;;
DENUDACIONAL;Lomas denudadas;Dld;;
DENUDACIONAL;Lomas residuales;Dlor;;
DENUDACIONAL;Lomo residual;Dlres;;
DENUDACIONAL;Montículo y ondulaciones denudacionales;Dmo;;
DENUDACIONAL;Penillanura o peniplanicie;Dpn;;
DENUDACIONAL;Planicie colinada denudacional;Dpcd;;
DENUDACIONAL;Planicie colinada residual;Dpcr;;
DENUDACIONAL;Sierra denudada;Dsd;;
DENUDACIONAL;Sierra residual;Dsr;;
DENUDACIONAL;Superficie de erosión o aplanamiento;Dsa;;
DENUDACIONAL;Altiplano;Da;;
DENUDACIONAL;Planos aterrazados o duricostras;Dpad;;
DENUDACIONAL;Pedimentos;Dpd;;
DENUDACIONAL;Pedimentos de acumulación;Dpa;;
DENUDACIONAL;Planicie;Dp;;
DENUDACIONAL;Pedimentos de erosión;Dpe;;
DENUDACIONAL;Terrazas o mesas calcretas o silicretas;Dtcs;;
DENUDACIONAL;Cono flujos de detritos;Dfe;;
DENUDACIONAL;Cono de talus;Dct;;
DENUDACIONAL;Cerro remanente o relicto;Dcrem;;
DENUDACIONAL;Escarpe de erosión mayor;Deem;;
DENUDACIONAL;Escarpe de erosión menor;Deeme;;
DENUDACIONAL;Escarpe facetado;Def;;
FLUVIAL;Abanico aluvial antiguo;Faaa;Alta;2
FLUVIAL;Abanicos aluviales y fluviotorrenciales;Faa;Alta;2
FLUVIAL;Albardones fluviales o diques naturales;Fa;Alta;2
FLUVIAL;Abanico aluvial subcreciente;Faas;Alta;2
FLUVIAL;Abanico aluvial actual;Faaac;Alta;2
FLUVIAL;Abanico aluvial incisado;Faai;Alta;2
FLUVIAL;Abanicos aluviales coalescentes no diferenciados (bajadas);Fac;Alta;2
FLUVIAL;Barra puntual;Fbp;;
FLUVIAL;Barras longitudinales;Fbl;;
FLUVIAL;Barras compuestas;Fbc;;
FLUVIAL;Complejo de orillales;Fpac;Alta;2
FLUVIAL;Planicie aluvial confinada;Fpac;Alta;2
FLUVIAL;Planicies y deltas lacustrinos;Fpla;;
FLUVIAL;Planos y llanuras de inundación;Fpi;Alta;2
FLUVIAL;Planos anegadizos;Fpa;;
FLUVIAL;Planos y artesas lagunares;Fpl;;
FLUVIAL;Cauce aluvial;Fca;;
FLUVIAL;Cono de deyección;Fcdy;Alta;2
FLUVIAL;Cuencas de decantación fluvial;Fcd;;
FLUVIAL;Meandros abandonados;Fma;;
FLUVIAL;Lagos en media luna;Flm;;
FLUVIAL;Deltas de desborde natural;Fdd;;
FLUVIAL;Deltas lacustrinos;Fdl;;
FLUVIAL;Terrazas de acumulación;Fta;Alta;2
FLUVIAL;Terrazas de erosión fluvial;Fte;;
FLUVIAL;Escarpe de terraza de acumulación;Ftae;Alta;2
FLUVIAL;Terraza de acumulación subcreciente;Ftas;Alta;2
FLUVIAL;Terraza de acumulación antigua;Ftan;Alta;2
FLUVIAL;Escarpe de abanico fluvial;Fea;Alta;2
FLUVIAL;Escarpe de terraza de erosión;Ftee;;
FLUVIAL;Plano anegadizo;Fpa;Alta;2
ESTRUCTURAL;Cerro estructural;Sce;;
ESTRUCTURAL;Colina estructural ;Sces;;
ESTRUCTURAL;Escarpe de línea de falla;Slfe;;
ESTRUCTURAL;Escarpe de meseta estructural ;Sme;;
ESTRUCTURAL;Faceta triangular; Sft;;
ESTRUCTURAL;Ladera contrapendiente ;Slcp;;
ESTRUCTURAL;Ladera de contrapendiente de sierra homoclinal ;Sshlc;;
ESTRUCTURAL;Ladera contrapendiente de sierra anticlinal ;Ssalc;;
ESTRUCTURAL;Ladera contrapendiente de sierra sinclinal ;Ssslc;;
ESTRUCTURAL;Ladera estructural de cuestas;Scle;;
ESTRUCTURAL;Ladera de contrapendiente de cuesta; Sclc;;
ESTRUCTURAL;Ladera de contrapendiente de espinazo ;Selc;;
ESTRUCTURAL;Meseta estructural ;Sm;;
ESTRUCTURAL;Ladera estructural de sierra homoclinal ;Sshle;;
ESTRUCTURAL;Ladera estructural de sierra anticlinal ;Ssale;;
ESTRUCTURAL;Ladera estructural de sierra sinclinal ;Sssle;;
ESTRUCTURAL;Ladera estructural de cuesta ;Scle;;
ESTRUCTURAL;Ladera estructural de espinazo; Sele;;
ESTRUCTURAL;Ladera de contrapendiente de espinazo;Selp;;
ESTRUCTURAL;Plancha; Sp;;
ESTRUCTURAL;Sierra de barras estructurales ;Ssbe;;
ESTRUCTURAL;Barras homoclinales denudadas;Sbhd;;
ESTRUCTURAL;Cornisas estructurales;Scor;;
ESTRUCTURAL;Cerros estructurales;Sce;;
ESTRUCTURAL;Espolones estructurales;Spe;;
ESTRUCTURAL;Espolones faceteados;Sefc;;
ESTRUCTURAL;Espolones denudados;Sed;;
ESTRUCTURAL;Espolones festoneados;sefes;;
ESTRUCTURAL;Lomos de fallas con facetas triangulares;Slft;;
ESTRUCTURAL;Escarpe de línea de falla;Slfe;;
;Escarpe de falla importante;Sefi;;
ESTRUCTURAL;Sierras y lomos de presión;Slp;;
ESTRUCTURAL;Ganchos de flexión;Sgf;;
ESTRUCTURAL;Domo diapírico;Sdd;;
ESTRUCTURAL;Superficie tabular de meseta;Smle;;
ESTRUCTURAL;Escarpes de meseta;Smcp;;
ESTRUCTURAL;Cuencas de tracción;Sct;;
ESTRUCTURAL;Laderas escalonadas;Sles;;
ESTRUCTURAL;Laguna de falla;Ssp;;
ESTRUCTURAL;Lomo de obturación;Slo;;
ESTRUCTURAL;Planos aluviales confinados;Svc;;
